"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J12","640454-3","-2995mil","-1550mil","-2995mil","-1550mil","-2995mil","-1450mil","T","270.00","640454-3"
"R17","R0603","-1770mil","-885mil","-1770mil","-885mil","-1742.441mil","-885mil","B","180.00","10k"
"R10","R0603","-195mil","-1385mil","-195mil","-1385mil","-222.559mil","-1385mil","B","360.00","10k"
"R9","R0603","-325mil","-1355mil","-325mil","-1355mil","-325mil","-1327.441mil","B","270.00","47k"
"POT1","3386P","-2225mil","-715mil","-2225mil","-715mil","-2175mil","-615mil","T","270.00","100k"
"POT2","3386P","-2225mil","-1350mil","-2225mil","-1350mil","-2175mil","-1250mil","T","270.00","100k"
"SW2","EVQ-PAG05R","-1755mil","-1525mil","-1755mil","-1525mil","-1666.417mil","-1397.047mil","T","180.00","EVQ-PAG05R"
"SW1","EVQ-PAG05R","-1755mil","-550mil","-1755mil","-550mil","-1666.417mil","-422.047mil","T","180.00","EVQ-PAG05R"
"J1","67996-416HLF","-1050mil","-150mil","-1050mil","-150mil","-700mil","-200mil","B","180.00","67996-416HLF"
"J2","67996-420HLF","-2000mil","-150mil","-2000mil","-150mil","-1550mil","-200mil","B","180.00","67996-420HLF"
"J9","67996-416HLF","-1750mil","-1950mil","-1750mil","-1950mil","-2100mil","-1900mil","B","360.00","67996-416HLF"
"J10","67996-412HLF","-950mil","-1950mil","-950mil","-1950mil","-1200mil","-1900mil","B","0.00","67996-412HLF"
"J5","282857-2","-325mil","-1100mil","-325mil","-1100mil","-325mil","-1200mil","T","90.00","282857-2"
"J11","282857-2","-325mil","-1625mil","-325mil","-1625mil","-325mil","-1725mil","T","90.00","282857-2"
"C11","PANASONIC_D","-675mil","-467.5mil","-675mil","-600mil","-675mil","-375mil","T","0.00","47uF"
"C12","C0603","-1050mil","-1625mil","-1050mil","-1625mil","-1077.559mil","-1625mil","B","360.00","33nF"
"R23","R0603","-3043mil","-321mil","-3043mil","-321mil","-3070.559mil","-321mil","T","360.00","10k"
"R24","R0603","-2741mil","-322mil","-2741mil","-322mil","-2768.559mil","-322mil","T","360.00","10k"

